,count,mean,std,min,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,max,skewness,kurtosis,unique,missing,IQR,OL
defending_standing_tackle,17223.0,47.170760030192184,21.82908982056051,5.0,13.0,15.0,18.0,22.0,26.0,30.0,35.0,41.0,48.0,54.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,76.0,93.0,-0.2847568572890373,-1.3504408700461477,89,547,40.0,60.0
defending_sliding_tackle,17290.0,45.217235396182765,21.43658595785738,3.0,12.0,14.0,17.0,20.0,23.0,28.0,33.0,39.0,46.0,51.0,55.0,58.0,60.0,62.0,64.0,65.0,68.0,70.0,74.0,91.0,-0.22176643966503207,-1.390398297916981,88,480,41.0,61.5
goalkeeping_diving,17690.0,16.505426794799323,17.55432838591185,1.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,55.0,66.0,91.0,2.472095375842904,4.617993985983619,75,80,6.0,9.0
goalkeeping_handling,17687.0,16.27630463051959,16.77008366607223,1.0,6.0,7.0,7.0,8.0,8.0,9.0,9.099999999999454,10.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,52.399999999999636,63.0,92.0,2.470209632506442,4.648785811425279,73,83,6.0,9.0
goalkeeping_kicking,17704.0,16.17255987347492,16.41775461981011,1.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,52.0,62.0,91.0,2.450729103446415,4.582751666922289,79,66,6.0,9.0
goalkeeping_positioning,17687.0,16.260134562107762,16.867186659344913,1.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,51.0,64.0,90.0,2.498599592505948,4.833584520188474,79,83,6.0,9.0
goalkeeping_reflexes,17683.0,16.57676864785387,17.772466527848177,1.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,55.0,67.0,94.0,2.4907459853791285,4.721988578394734,77,87,6.0,9.0
ls,15784.0,59.76267105930056,9.221543957014825,33.0,44.0,47.0,50.0,52.0,53.0,55.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,94.0,-0.13791129195006857,-0.32545443256663553,60,1986,13.0,19.5
st,15784.0,59.76267105930056,9.221543957014825,33.0,44.0,47.0,50.0,52.0,53.0,55.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,94.0,-0.13791129195006857,-0.32545443256663553,60,1986,13.0,19.5
rs,15784.0,59.76267105930056,9.221543957014825,33.0,44.0,47.0,50.0,52.0,53.0,55.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,94.0,-0.13791129195006857,-0.32545443256663553,60,1986,13.0,19.5
lw,15784.0,60.9635707045109,9.970526333746568,27.0,42.0,47.0,50.0,53.0,55.0,57.0,58.0,60.0,61.0,62.0,63.0,64.0,65.0,67.0,68.0,69.0,71.0,73.0,76.0,94.0,-0.4033721612100997,0.006506321271376958,66,1986,13.0,19.5
lf,15784.0,60.64432336543335,9.935403196181522,29.0,42.0,47.0,50.0,52.0,54.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,73.0,75.0,95.0,-0.33341392911058354,-0.09981863679012903,65,1986,14.0,21.0
cf,15784.0,60.64432336543335,9.935403196181522,29.0,42.0,47.0,50.0,52.0,54.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,73.0,75.0,95.0,-0.33341392911058354,-0.09981863679012903,65,1986,14.0,21.0
rf,15784.0,60.64432336543335,9.935403196181522,29.0,42.0,47.0,50.0,52.0,54.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,73.0,75.0,95.0,-0.33341392911058354,-0.09981863679012903,65,1986,14.0,21.0
